PathfinderHybrid d=7 H=192 L=7 heads=8 attn_every=2: 4,355,521 params
Pre-compiled 41 samplers (4-parameter noise).
Optimizer split: 2,543,808 Muon params, 1,811,713 AdamW params
step  45800/80000  loss=0.0140  p=0.00331  7.6 s/s  ETA 75min
step  46000/80000  loss=0.0350  p=0.00332  7.6 s/s  ETA 74min
step  46200/80000  loss=0.0249  p=0.00334  7.6 s/s  ETA 74min
step  46400/80000  loss=0.0257  p=0.00336  7.6 s/s  ETA 74min
step  46600/80000  loss=0.0247  p=0.00338  7.6 s/s  ETA 73min
step  46800/80000  loss=0.0217  p=0.00340  7.6 s/s  ETA 73min
step  47000/80000  loss=0.0132  p=0.00341  7.6 s/s  ETA 72min
step  47200/80000  loss=0.0090  p=0.00343  7.6 s/s  ETA 72min
step  47400/80000  loss=0.0135  p=0.00345  7.6 s/s  ETA 71min
step  47600/80000  loss=0.0390  p=0.00347  7.6 s/s  ETA 71min
step  47800/80000  loss=0.0207  p=0.00348  7.6 s/s  ETA 71min
step  48000/80000  loss=0.0245  p=0.00350  7.6 s/s  ETA 70min
  >>> LER @ p=0.007: 0.09560
  >>> saved (ler=0.09560)
step  48200/80000  loss=0.0069  p=0.00352  7.6 s/s  ETA 70min
step  48400/80000  loss=0.0354  p=0.00354  7.6 s/s  ETA 69min
step  48600/80000  loss=0.0289  p=0.00357  7.6 s/s  ETA 69min
step  48800/80000  loss=0.0108  p=0.00359  7.6 s/s  ETA 68min
step  49000/80000  loss=0.0064  p=0.00361  7.6 s/s  ETA 68min
step  49200/80000  loss=0.0425  p=0.00363  7.6 s/s  ETA 67min
step  49400/80000  loss=0.0062  p=0.00365  7.6 s/s  ETA 67min
step  49600/80000  loss=0.0275  p=0.00368  7.6 s/s  ETA 67min
step  49800/80000  loss=0.0101  p=0.00370  7.6 s/s  ETA 66min
step  50000/80000  loss=0.0319  p=0.00372  7.6 s/s  ETA 66min
step  50200/80000  loss=0.0155  p=0.00374  7.6 s/s  ETA 65min
step  50400/80000  loss=0.0272  p=0.00376  7.6 s/s  ETA 65min
step  50600/80000  loss=0.0297  p=0.00378  7.6 s/s  ETA 64min
step  50800/80000  loss=0.0216  p=0.00381  7.6 s/s  ETA 64min
step  51000/80000  loss=0.0248  p=0.00383  7.6 s/s  ETA 63min
step  51200/80000  loss=0.0073  p=0.00385  7.6 s/s  ETA 63min
step  51400/80000  loss=0.0582  p=0.00387  7.6 s/s  ETA 63min
step  51600/80000  loss=0.0072  p=0.00389  7.6 s/s  ETA 62min
step  51800/80000  loss=0.0223  p=0.00392  7.6 s/s  ETA 62min
step  52000/80000  loss=0.0184  p=0.00394  7.6 s/s  ETA 61min
  >>> LER @ p=0.007: 0.08480
  >>> saved (ler=0.08480)
step  52200/80000  loss=0.0291  p=0.00396  7.6 s/s  ETA 61min
step  52400/80000  loss=0.0201  p=0.00398  7.6 s/s  ETA 60min
step  52600/80000  loss=0.0198  p=0.00400  7.6 s/s  ETA 60min
step  52800/80000  loss=0.0409  p=0.00403  7.6 s/s  ETA 60min
step  53000/80000  loss=0.0609  p=0.00405  7.6 s/s  ETA 59min
step  53200/80000  loss=0.0147  p=0.00407  7.6 s/s  ETA 59min
step  53400/80000  loss=0.0580  p=0.00409  7.6 s/s  ETA 58min
step  53600/80000  loss=0.0520  p=0.00411  7.6 s/s  ETA 58min
step  53800/80000  loss=0.0348  p=0.00413  7.6 s/s  ETA 57min
step  54000/80000  loss=0.0173  p=0.00416  7.6 s/s  ETA 57min
step  54200/80000  loss=0.0135  p=0.00418  7.6 s/s  ETA 57min
step  54400/80000  loss=0.0325  p=0.00420  7.6 s/s  ETA 56min
step  54600/80000  loss=0.0234  p=0.00422  7.6 s/s  ETA 56min
step  54800/80000  loss=0.0278  p=0.00424  7.6 s/s  ETA 55min
step  55000/80000  loss=0.0771  p=0.00427  7.6 s/s  ETA 55min
step  55200/80000  loss=0.0292  p=0.00429  7.6 s/s  ETA 54min
step  55400/80000  loss=0.0584  p=0.00431  7.6 s/s  ETA 54min
step  55600/80000  loss=0.0213  p=0.00433  7.6 s/s  ETA 53min
step  55800/80000  loss=0.0701  p=0.00435  7.6 s/s  ETA 53min
step  56000/80000  loss=0.0239  p=0.00438  7.6 s/s  ETA 53min
  >>> LER @ p=0.007: 0.07030
  >>> saved (ler=0.07030)
step  56200/80000  loss=0.0144  p=0.00440  7.6 s/s  ETA 52min
step  56400/80000  loss=0.0431  p=0.00442  7.6 s/s  ETA 52min
step  56600/80000  loss=0.0580  p=0.00444  7.6 s/s  ETA 51min
step  56800/80000  loss=0.0217  p=0.00446  7.6 s/s  ETA 51min
step  57000/80000  loss=0.0395  p=0.00448  7.6 s/s  ETA 50min
step  57200/80000  loss=0.0489  p=0.00451  7.6 s/s  ETA 50min
step  57400/80000  loss=0.0476  p=0.00453  7.6 s/s  ETA 50min
step  57600/80000  loss=0.0309  p=0.00455  7.6 s/s  ETA 49min
step  57800/80000  loss=0.0705  p=0.00457  7.6 s/s  ETA 49min
step  58000/80000  loss=0.0180  p=0.00459  7.6 s/s  ETA 48min
step  58200/80000  loss=0.0461  p=0.00462  7.6 s/s  ETA 48min
step  58400/80000  loss=0.0417  p=0.00464  7.6 s/s  ETA 47min
step  58600/80000  loss=0.0234  p=0.00466  7.6 s/s  ETA 47min
step  58800/80000  loss=0.0227  p=0.00468  7.6 s/s  ETA 46min
step  59000/80000  loss=0.0239  p=0.00470  7.6 s/s  ETA 46min
step  59200/80000  loss=0.0365  p=0.00473  7.6 s/s  ETA 46min
step  59400/80000  loss=0.0409  p=0.00475  7.6 s/s  ETA 45min
step  59600/80000  loss=0.0441  p=0.00477  7.6 s/s  ETA 45min
step  59800/80000  loss=0.0302  p=0.00479  7.6 s/s  ETA 44min
step  60000/80000  loss=0.0410  p=0.00481  7.6 s/s  ETA 44min
  >>> LER @ p=0.007: 0.06180
  >>> saved (ler=0.06180)
step  60200/80000  loss=0.0568  p=0.00483  7.6 s/s  ETA 43min
step  60400/80000  loss=0.0653  p=0.00486  7.6 s/s  ETA 43min
step  60600/80000  loss=0.0435  p=0.00488  7.6 s/s  ETA 43min
step  60800/80000  loss=0.0651  p=0.00490  7.6 s/s  ETA 42min
step  61000/80000  loss=0.0781  p=0.00492  7.6 s/s  ETA 42min
step  61200/80000  loss=0.0287  p=0.00494  7.6 s/s  ETA 41min
step  61400/80000  loss=0.0358  p=0.00497  7.6 s/s  ETA 41min
step  61600/80000  loss=0.0680  p=0.00499  7.6 s/s  ETA 40min
step  61800/80000  loss=0.0673  p=0.00501  7.6 s/s  ETA 40min
step  62000/80000  loss=0.0314  p=0.00503  7.6 s/s  ETA 39min
