Loading init from /workspace/pathfinder/train/checkpoints/d7_final/best_model.pt
Loaded d=7 H=256 L=7 500,225 params
Init LER @ 4-param p=0.007: 0.04130
  >>> saved init checkpoint (ler=0.04130)
  >>> LER @ p=0.007: 0.03310
  >>> saved (ler=0.03310)
step  38100/40000  loss=0.0824  19.3 s/s  ETA 2min
step  38200/40000  loss=0.0758  19.3 s/s  ETA 2min
step  38300/40000  loss=0.1092  19.3 s/s  ETA 1min
step  38400/40000  loss=0.0962  19.3 s/s  ETA 1min
step  38500/40000  loss=0.0471  19.3 s/s  ETA 1min
step  38600/40000  loss=0.0846  19.3 s/s  ETA 1min
step  38700/40000  loss=0.0714  19.3 s/s  ETA 1min
step  38800/40000  loss=0.1030  19.3 s/s  ETA 1min
step  38900/40000  loss=0.0998  19.3 s/s  ETA 1min
step  39000/40000  loss=0.0835  19.3 s/s  ETA 1min
step  39100/40000  loss=0.0651  19.3 s/s  ETA 1min
step  39200/40000  loss=0.0933  19.3 s/s  ETA 1min
step  39300/40000  loss=0.0647  19.3 s/s  ETA 1min
step  39400/40000  loss=0.1028  19.3 s/s  ETA 1min
step  39500/40000  loss=0.1114  19.3 s/s  ETA 0min
step  39600/40000  loss=0.0669  19.3 s/s  ETA 0min
step  39700/40000  loss=0.0641  19.3 s/s  ETA 0min
step  39800/40000  loss=0.0855  19.3 s/s  ETA 0min
step  39900/40000  loss=0.0872  19.3 s/s  ETA 0min

Final LER @ p=0.007 (50K shots): 0.03366
