Ablation: AdamW on ALL params, d=7, H=256, L=7, 500,225 params
Pre-compiled 41 samplers at 3-parameter noise (Table 4 methodology).
step  31100/80000  loss=0.4200  p=0.00202  33.3 s/s  ETA 24min
step  31200/80000  loss=0.3705  p=0.00203  33.3 s/s  ETA 24min
step  31300/80000  loss=0.3990  p=0.00204  33.3 s/s  ETA 24min
step  31400/80000  loss=0.4755  p=0.00205  33.3 s/s  ETA 24min
step  31500/80000  loss=0.4404  p=0.00206  33.3 s/s  ETA 24min
step  31600/80000  loss=0.3726  p=0.00207  33.3 s/s  ETA 24min
step  31700/80000  loss=0.4859  p=0.00207  33.3 s/s  ETA 24min
step  31800/80000  loss=0.4062  p=0.00208  33.3 s/s  ETA 24min
step  31900/80000  loss=0.4667  p=0.00209  33.3 s/s  ETA 24min
step  32000/80000  loss=0.4532  p=0.00210  33.3 s/s  ETA 24min
  >>> LER @ p=0.007: 0.34990
step  32100/80000  loss=0.4200  p=0.00211  33.3 s/s  ETA 24min
step  32200/80000  loss=0.4534  p=0.00212  33.3 s/s  ETA 24min
step  32300/80000  loss=0.3672  p=0.00213  33.3 s/s  ETA 24min
step  32400/80000  loss=0.4063  p=0.00214  33.3 s/s  ETA 24min
step  32500/80000  loss=0.4062  p=0.00214  33.3 s/s  ETA 24min
step  32600/80000  loss=0.4599  p=0.00215  33.3 s/s  ETA 24min
step  32700/80000  loss=0.4400  p=0.00216  33.3 s/s  ETA 24min
step  32800/80000  loss=0.4588  p=0.00217  33.3 s/s  ETA 24min
step  32900/80000  loss=0.4669  p=0.00218  33.3 s/s  ETA 24min
step  33000/80000  loss=0.4100  p=0.00219  33.3 s/s  ETA 24min
step  33100/80000  loss=0.4268  p=0.00220  33.3 s/s  ETA 23min
step  33200/80000  loss=0.3733  p=0.00220  33.3 s/s  ETA 23min
step  33300/80000  loss=0.4527  p=0.00221  33.3 s/s  ETA 23min
step  33400/80000  loss=0.4202  p=0.00222  33.3 s/s  ETA 23min
step  33500/80000  loss=0.4201  p=0.00223  33.3 s/s  ETA 23min
step  33600/80000  loss=0.4200  p=0.00224  33.3 s/s  ETA 23min
step  33700/80000  loss=0.4749  p=0.00225  33.3 s/s  ETA 23min
step  33800/80000  loss=0.4399  p=0.00226  33.3 s/s  ETA 23min
step  33900/80000  loss=0.4004  p=0.00227  33.3 s/s  ETA 23min
step  34000/80000  loss=0.4070  p=0.00227  33.3 s/s  ETA 23min
  >>> LER @ p=0.007: 0.34420
step  34100/80000  loss=0.4742  p=0.00228  33.3 s/s  ETA 23min
step  34200/80000  loss=0.4470  p=0.00229  33.3 s/s  ETA 23min
step  34300/80000  loss=0.5253  p=0.00230  33.3 s/s  ETA 23min
step  34400/80000  loss=0.3835  p=0.00231  33.3 s/s  ETA 23min
step  34500/80000  loss=0.4464  p=0.00232  33.3 s/s  ETA 23min
step  34600/80000  loss=0.4087  p=0.00233  33.3 s/s  ETA 23min
